Review #,Brand,Style,Country,Stars,Codes
2535,Nissin,Cup,USA,5,USA
2534,Fujiwara,Pack,Japan,4,JPN
2533,Nongshim,Pack,South Korea,5,PRK
2532,Nissin,Bowl,Japan,4.75,JPN
2531,Uni-President,Pack,China,4.25,CHN
2530,Ottogi,Pack,South Korea,2,PRK
2529,Maruchan,Bowl,Japan,4.5,JPN
2528,Prima,Pack,Singapore,5,SGP
2527,Uni-President,Pack,Vietnam,0,VNM
2526,Samyang Foods,Bowl,South Korea,4.5,PRK
2525,Sokensha,Pack,Japan,3.5,JPN
2524,Nissin,Pack,Singapore,5,SGP
2523,Nongshim,Pack,South Korea,4.5,PRK
2522,Takamori,Pack,Japan,5,JPN
2521,Nissin,Pack,Singapore,4.5,SGP
2520,Nissin,Cup,Singapore,5,SGP
2519,Guava Story,Tray,South Korea,1,PRK
2518,Samurai Ramen,Pack,Japan,4,JPN
2517,Ikeda Shoku,Bowl,Japan,4.5,JPN
2516,Fujiwara,Pack,Japan,3.5,JPN
2515,Uni-President,Bowl,Taiwan,5,TWN
2514,Ogasawara,Pack,Japan,4.5,JPN
2513,Pringles,Can,USA,3.5,USA
2512,Mom's Dry Noodle,Pack,Taiwan,5,TWN
2511,Samyang Foods,Bowl,South Korea,5,PRK
2510,MyKuali,Pack,Malaysia,5,MYS
2509,Maggi,Pack,India,3.5,IND
2508,Samyang Foods,Pack,South Korea,3.75,PRK
2507,Indomie,Pack,Indonesia,4,IDN
2506,KOKA,Pack,Singapore,3.75,SGP
2505,Acecook,Bowl,Japan,3.5,JPN
2504,Nongshim,Pack,South Korea,3,PRK
2503,Sichuan Guangyou,Bowl,China,0,CHN
2502,Indomie,Pack,Nigeria,1.5,NGA
2501,Happy Cook,Pack,Taiwan,4,TWN
2500,The Ramen Rater Select,Box,Malaysia,5,MYS
2499,KOKA,Cup,Singapore,5,SGP
2498,Nissin,Pack,Germany,3.75,DEU
2497,Nissin,Cup,Germany,3.75,DEU
2496,Nissin,Pack,Germany,4.5,DEU
2495,Nissin,Cup,Germany,3.75,DEU
2494,Nissin,Pack,Germany,3.5,DEU
2493,Nissin,Cup,Germany,3.75,DEU
2492,Nissin,Pack,Hungary,3.75,HUN
2491,Nissin,Cup,Germany,5,DEU
2490,Nissin,Pack,Germany,3.5,DEU
2489,Nissin,Cup,Germany,3,DEU
2488,Nissin,Pack,Germany,3.75,DEU
2487,Nissin,Cup,Germany,4.5,DEU
2486,Nissin,Pack,Germany,3.5,DEU
2485,Nissin,Cup,Germany,3,DEU
2484,Nissin,Pack,Germany,4,DEU
2483,Paldo,Bowl,South Korea,5,PRK
2482,TTL,Pack,Taiwan,4.75,TWN
2481,Samyang Foods,Cup,South Korea,3.75,PRK
2480,Acecook,Bowl,Japan,4.25,JPN
2479,E-Zee,Pack,Malaysia,4,MYS
2478,Kiki Noodle,Pack,Taiwan,5,TWN
2477,Kiki Noodle,Pack,Taiwan,5,TWN
2476,Samyang Foods,Bowl,South Korea,4,PRK
2475,Maruchan,Bowl,Japan,4.75,JPN
2474,Ottogi,Pack,South Korea,4.25,PRK
2473,Tokyo Noodle,Pack,Japan,2,JPN
2472,GGE,Pack,Taiwan,3.5,TWN
2471,Nissin,Cup,Hong Kong,5,HKG
2470,Myojo,Pack,USA,3.75,USA
2469,KOKA,Cup,Singapore,3.5,SGP
2468,Acecook,Cup,Japan,4.25,JPN
2467,Paldo,Pack,South Korea,3.5,PRK
2466,Sau Tao,Pack,Hong Kong,4,HKG
2465,Nissin,Cup,China,3.75,CHN
2464,Wang,Bowl,South Korea,2,PRK
2463,Nissin,Pack,Indonesia,3.25,IDN
2462,TTL,Bowl,Taiwan,5,TWN
2461,Fujiwara,Pack,Japan,4.5,JPN
2460,Daifuku,Bowl,USA,5,USA
2459,Nissin,Pack,Japan,3.5,JPN
2457,KOKA,Pack,Singapore,3.5,SGP
2456,KOKA,Pack,Singapore,4.25,SGP
2455,KOKA,Cup,Singapore,5,SGP
2454,KOKA,Bowl,Singapore,3.25,SGP
2453,KOKA,Pack,Singapore,4.5,SGP
2452,KOKA,Bowl,Singapore,5,SGP
2451,KOKA,Pack,Singapore,5,SGP
2450,KOKA,Pack,Singapore,4,SGP
2449,KOKA,Pack,Singapore,5,SGP
2448,KOKA,Cup,Singapore,3.5,SGP
2447,KOKA,Pack,Singapore,3,SGP
2446,KOKA,Cup,Singapore,5,SGP
2445,KOKA,Pack,Singapore,4.25,SGP
2444,KOKA,Bowl,Singapore,5,SGP
2443,KOKA,Cup,Singapore,3.75,SGP
2442,Nissin,Cup,Mexico,3.5,MEX
2441,MyKuali,Box,Japan,5,JPN
2440,Master Kong,Pack,China,4.5,CHN
2439,Uni-President,Bowl,Taiwan,5,TWN
2438,World O' Noodle,Pack,Indonesia,5,IDN
2437,Nissin,Bowl,Japan,4.5,JPN
2436,Kang Shi Fu,Pack,Hong Kong,4.75,HKG
2435,Mum Ngon,Pack,Vietnam,3.5,VNM
2434,Happy Cook,Pack,Taiwan,4.25,TWN
2433,Nissin,Cup,Japan,3.75,JPN
2432,Fashion Food,Bowl,Thailand,3.5,THA
2431,Dream Kitchen,Bowl,USA,3.75,USA
2430,MyKuali,Pack,Malaysia,5,MYS
2429,New Touch,Cup,Japan,4,JPN
2428,TTL,Bowl,Taiwan,5,TWN
2427,Ajinatori,Pack,Japan,2.5,JPN
2426,Dr. McDougall's,Cup,USA,0,USA
2425,Nissin,Cup,Hong Kong,5,HKG
2424,Samyang Foods,Pack,South Korea,3.75,PRK
2423,Ve Wong,Pack,Taiwan,3.5,TWN
2422,Nissin,Cup,Mexico,3.25,MEX
2421,Uni-President,Pack,Taiwan,5,TWN
2420,Nissin,Cup,China,3.75,CHN
2419,MyKuali,Box,Japan,5,JPN
2418,Myojo,Tray,Japan,4.5,JPN
2417,Super Bihun,Pack,Indonesia,3.75,IDN
2416,Xiuhe,Bowl,China,4.25,CHN
2415,Nissin,Bowl,Japan,5,JPN
2414,Little Cook,Bowl,Taiwan,5,TWN
2413,Nissin,Cup,Hong Kong,2.5,HKG
2412,Shirakiku,Pack,USA,3.25,USA
2411,Mama Pat's,Pack,USA,3.75,USA
2410,Mama Pat's,Pack,USA,3.75,USA
2409,Mama Pat's,Pack,USA,3.5,USA
2408,Mama Pat's,Pack,USA,3.75,USA
2407,Just Way,Pack,Taiwan,4.5,TWN
2406,Sichuan Guangyou,Pack,China,0.25,CHN
2405,Nissin,Cup,Hong Kong,4,HKG
2404,MyKuali,Pack,Singapore,5,SGP
2403,Goku-Uma,Bowl,USA,4.75,USA
2402,Maggi,Pack,India,3.75,IND
2401,Sichuan Baijia,Bowl,China,5,CHN
2400,Nissin,Cup,Singapore,5,SGP
2399,Indomie,Pack,Indonesia,4,IDN
2398,Liang Cheng Mai,Tray,China,1,CHN
2397,Samyang Foods,Bowl,South Korea,4,PRK
2396,Maggi,Pack,Fiji,3.25,Fiji
2395,Master Kong,Pack,China,4.25,CHN
2394,Nissin,Cup,Hong Kong,3.75,HKG
2393,Ripe'n'Dry,Pack,Japan,3,JPN
2392,MyKuali,Bowl,Malaysia,5,MYS
2391,Ottogi,Pack,South Korea,5,PRK
2390,Nissin,Cup,Hong Kong,3.75,HKG
2389,Gefen,Cup,USA,4,USA
2388,Hua Feng,Pack,China,4.25,CHN
2387,Nissin,Bowl,Hong Kong,3.5,HKG
2386,Maggi,Pack,Fiji,4,Fiji
2385,Uni-President,Bowl,Taiwan,4.75,TWN
2384,Sichuan Guangyou,Pack,China,4.25,CHN
2383,Nissin,Cup,USA,3.5,USA
2382,Nongshim,Cup,South Korea,0.5,PRK
2381,Nissin,Cup,Hong Kong,4.75,HKG
2380,Pulmuone,Pack,South Korea,3.75,PRK
2379,Nissin,Cup,USA,2.5,USA
2378,Sau Tao,Pack,Hong Kong,4.5,HKG
2377,MyKuali,Box,Malaysia,5,MYS
2376,Nissin,Cup,Thailand,3.25,THA
2375,Uni-President,Bowl,Taiwan,5,TWN
2374,World O' Noodle,Pack,Indonesia,4.5,IDN
2373,Nissin,Pack,India,4.5,IND
2372,Liu Quan,Bowl,China,4,CHN
2371,Daikoku,Cup,Japan,3.5,JPN
2370,Samyang Foods,Pack,South Korea,4.5,PRK
2369,Samyang Foods,Pack,South Korea,4.25,PRK
2368,Samyang Foods,Pack,South Korea,3.75,PRK
2367,Samyang Foods,Pack,South Korea,4,PRK
2366,Samyang Foods,Pack,South Korea,5,PRK
2365,Samyang Foods,Pack,South Korea,5,PRK
2364,Samyang Foods,Pack,South Korea,4,PRK
2363,Samyang Foods,Pack,South Korea,4,PRK
2362,Chuan Wei Wang,Bowl,China,4,CHN
2361,Nissin,Bowl,Hong Kong,5,HKG
2360,Wai Wai,Pack,India,2,IND
2359,Daikoku,Cup,Japan,2,JPN
2358,Sichuan Baijia,Bowl,China,4,CHN
2357,Kamfen,Bowl,Hong Kong,5,HKG
2356,Nongshim,Cup,South Korea,4,PRK
2355,Marutai,Pack,Japan,4,JPN
2354,Vifon,Bowl,Vietnam,5,VNM
2353,Nissin,Cup,Japan,4,JPN
2352,Uni-President,Pack,Taiwan,1,TWN
2351,1 To 3 Noodles,Pack,India,4,IND
2350,Nissin,Cup,Hong Kong,4,HKG
2349,Fantastic,Cup,Australia,3,AUS
2348,Ripe'n'Dry,Pack,Japan,3,JPN
2347,Nissin,Bowl,Hong Kong,3,HKG
2346,Knorr,Pack,Pakistan,1,PAK
2345,Sempio,Pack,South Korea,5,PRK
2344,Nissin,Cup,Mexico,4,MEX
2343,Nissin,Cup,Mexico,4,MEX
2342,Nissin,Pack,Mexico,4,MEX
2341,Nissin,Cup,Mexico,4,MEX
2340,Nissin,Cup,Mexico,4,MEX
2339,Nissin,Cup,Mexico,3,MEX
2338,Nissin,Pack,Mexico,4,MEX
2337,Nissin,Cup,Mexico,3,MEX
2336,Nissin,Cup,Mexico,3,MEX
2335,Nissin,Cup,Mexico,5,MEX
2334,Nissin,Cup,Mexico,4,MEX
2333,Nissin,Cup,Mexico,4,MEX
2332,Nissin,Pack,Mexico,4,MEX
2331,Nissin,Cup,Mexico,4,MEX
2330,Ve Wong,Pack,Taiwan,4,TWN
2329,Patanjali,Pack,India,5,IND
2328,Qin Zong,Pack,China,3,CHN
2327,Nissin,Cup,USA,4,USA
2326,Nissin,Cup,Hong Kong,4,HKG
2325,Pran,Pack,Bangladesh,4,BGD
2324,Paldo,Pack,South Korea,5,PRK
2323,Ogasawara,Pack,Japan,5,JPN
2322,Sapporo Ichiban,Bowl,Japan,3,JPN
2321,Sau Tao,Bowl,Hong Kong,5,HKG
2320,Nissin,Cup,Japan,4,JPN
2319,Nongshim,Bowl,South Korea,3.5,PRK
2318,Happy Cook,Pack,Taiwan,5,TWN
2317,MAMA,Bowl,Thailand,4,THA
2316,Nissin,Cup,Japan,5,JPN
2315,Goku-Uma,Bowl,USA,3,USA
2314,Nissin,Cup,Hong Kong,4,HKG
2313,Xiao Ban Mian,Pack,Taiwan,3.5,TWN
2312,Xiao Ban Mian,Pack,Taiwan,5,TWN
2311,Xiao Ban Mian,Pack,Taiwan,3.8,TWN
2310,Pran,Pack,Bangladesh,4,BGD
2309,Nissin,Cup,Hong Kong,4,HKG
2308,Fantastic,Cup,Australia,4,AUS
2307,Ottogi,Pack,Mexico,4,MEX
2306,Nissin,Cup,Hong Kong,4,HKG
2305,Ajinatori,Pack,Japan,4,JPN
2304,Maggi,Pack,India,5,IND
2303,Maruchan,Pack,Mexico,3,MEX
2302,Nissin,Tray,Japan,5,JPN
2301,Suimin,Cup,Australia,3,AUS
2300,Nissin,Pack,Hong Kong,4,HKG
2299,Cintan,Pack,Malaysia,3,MYS
2298,Nissin,Cup,USA,4,USA
2297,Chuan Wei Wang,Bowl,China,3,CHN
2296,Suimin,Cup,Australia,3,AUS
2295,Nissin,Cup,China,4,CHN
2294,Sapporo Ichiban,Bowl,Japan,4,JPN
2293,Nissin,Pack,Hong Kong,5,HKG
2292,Sichuan Baijia,Pack,China,5,CHN
2291,Samyang Foods,Pack,South Korea,4,PRK
2290,Nissin,Pack,Hong Kong,5,HKG
2289,Myojo,Bowl,Japan,4,JPN
2288,Nissin,Cup,Hong Kong,4,HKG
2287,Master Kong,Pack,China,0,CHN
2286,Kamfen,Bowl,Hong Kong,4,HKG
2285,Fantastic,Cup,Australia,3,AUS
2284,Nissin,Cup,Hong Kong,4,HKG
2283,Nissin,Pack,Japan,5,JPN
2282,Samyang Foods,Pack,South Korea,5,PRK
2281,Nissin,Cup,Hong Kong,4,HKG
2280,Sichuan Baijia,Pack,China,4,CHN
2279,Nissin,Bowl,Hong Kong,5,HKG
2278,Nissin,Pack,Japan,5,JPN
2277,Goku-Uma,Bowl,USA,3,USA
2276,Nissin,Cup,USA,3,USA
2275,JML,Pack,China,4,CHN
2274,Suimin,Cup,Australia,4,AUS
2273,Uni-President,Bowl,Taiwan,4,TWN
2272,Nissin,Bowl,Hong Kong,4,HKG
2271,Sichuan Baijia,Pack,China,5,CHN
2270,Samyang Foods,Pack,South Korea,4,PRK
2269,Wai Wai,Pack,India,4,IND
2268,Nissin,Pack,Hong Kong,5,HKG
2267,Shirakiku,Pack,USA,2,USA
2266,Nissin,Cup,Thailand,4,THA
2265,Nissin,Cup,Japan,3,JPN
2264,Unif Tung-I,Pack,Taiwan,1,TWN
2263,Sichuan Baijia,Pack,China,4,CHN
2262,Dream Kitchen,Cup,USA,5,USA
2261,Tablemark,Bowl,Japan,4,JPN
2260,Uni-President,Pack,Taiwan,5,TWN
2259,Farmer's Heart,Bowl,USA,3.75,USA
2258,Kamfen,Bowl,Hong Kong,4.3,HKG
2257,Fuku,Pack,Hong Kong,2.3,HKG
2256,Goku-Uma,Bowl,USA,3,USA
2255,Daikoku,Tray,Japan,5,JPN
2254,Nissin,Cup,Thailand,3,THA
2253,Singa-Me,Cup,Australia,4,AUS
2252,New Touch,Bowl,Japan,5,JPN
2251,Ottogi,Pack,Mexico,4,MEX
2250,Nissin,Pack,Hong Kong,4,HKG
2249,Love Cook,Pack,Taiwan,4,TWN
2248,Nongshim,Cup,USA,5,USA
2247,Nissin,Bowl,Japan,5,JPN
2246,Dream Kitchen,Cup,USA,4,USA
2245,Nissin,Cup,Hong Kong,4,HKG
2244,Kang Shi Fu,Pack,Hong Kong,4,HKG
2243,Nissin,Cup,Hong Kong,4,HKG
2242,Great Value,Cup,Canada,3,CAN
2241,Fuku,Pack,Hong Kong,4,HKG
2240,Wang,Bowl,South Korea,3,PRK
2239,Nissin,Cup,USA,4,USA
2238,Asian Thai Foods,Pack,Nepal,1,NPL
2237,Nissin,Cup,Japan,5,JPN
2236,Maruchan,Bowl,Japan,4,JPN
2235,Fashion Food,Bowl,Thailand,4,THA
2234,Paldo,Bowl,South Korea,5,PRK
2233,Nissin,Cup,Hong Kong,4,HKG
2232,Nissin,Bowl,Japan,5,JPN
2231,Fantastic,Cup,Australia,4,AUS
2230,Marutai,Pack,Japan,4,JPN
2229,Kang Shi Fu,Pack,Hong Kong,4,HKG
2228,Nissin,Bowl,Japan,5,JPN
2227,Maruchan,Pack,USA,4,USA
2226,Nagatanien,Pack,Japan,3,JPN
2225,Fuku,Bowl,Hong Kong,4,HKG
2224,Wai Wai,Pack,India,4,IND
2223,KOKA,Pack,Singapore,4,SGP
2222,Nyor Nyar,Pack,Malaysia,5,MYS
2221,Nissin,Cup,Japan,5,JPN
2220,Paldo,Pack,South Korea,5,PRK
2219,Fantastic,Cup,Australia,1,AUS
2218,Tseng Noodles,Pack,Taiwan,4,TWN
2217,Nissin,Pack,Hong Kong,5,HKG
2216,A-Sha Dry Noodle,Tray,Taiwan,3,TWN
2215,Myojo,Pack,Singapore,5,SGP
2214,Sapporo Ichiban,Bowl,Japan,4,JPN
2213,Acecook,Pack,Vietnam,4,VNM
2212,Paldo,Pack,South Korea,4,PRK
2211,Nissin,Cup,Thailand,3,THA
2210,Morre,Pack,Pakistan,4,PAK
2209,Nissin,Pack,Hong Kong,5,HKG
2208,Roland,Pack,USA,0,USA
2207,Nissin,Cup,Hong Kong,3,HKG
2206,Nissin,Bowl,Japan,5,JPN
2205,Maruchan,Bowl,USA,4,USA
2204,Nissin,Cup,Brazil,4,BRA
2203,Nongshim,Bowl,USA,4,USA
2202,Nissin,Cup,Hong Kong,4,HKG
2201,Mr. Lee's Noodles,Cup,UK,2,UK
2200,Mr. Lee's Noodles,Cup,UK,5,UK
2199,Mr. Lee's Noodles,Cup,UK,3,UK
2198,Mr. Lee's Noodles,Cup,UK,3,UK
2197,Mr. Lee's Noodles,Cup,UK,5,UK
2196,Mr. Lee's Noodles,Cup,UK,3.3,UK
2195,Nissin,Bowl,Japan,5,JPN
2194,Fuku,Pack,Hong Kong,4,HKG
2193,Knorr,Pack,Pakistan,3,PAK
2192,Nyor Nyar,Pack,Malaysia,5,MYS
2191,Choumama,Pack,Taiwan,4,TWN
2190,Myojo,Bowl,Japan,4.75,JPN
2189,Nissin,Cup,Hong Kong,4,HKG
2188,Singa-Me,Cup,Australia,2.5,AUS
2187,Pulmuone,Pack,South Korea,5,PRK
2186,Master Kong,Pack,China,4,CHN
2185,Nissin,Pack,Japan,5,JPN
2184,President Rice,Bowl,Thailand,2.75,THA
2183,MAMA,Pack,Thailand,3.5,THA
2182,MAMA,Pack,Thailand,3.5,THA
2181,MAMA,Pack,Thailand,4,THA
2180,MAMA,Bowl,Thailand,3,THA
2179,MAMA,Pack,Thailand,5,THA
2178,MAMA,Pack,Thailand,4,THA
2177,MAMA,Pack,Thailand,4,THA
2176,MAMA,Pack,Thailand,5,THA
2175,MAMA,Pack,Thailand,4,THA
2174,MAMA,Cup,Thailand,5,THA
2173,MAMA,Pack,Thailand,4,THA
2172,MAMA,Pack,Thailand,4,THA
2171,MAMA,Pack,Thailand,4,THA
2170,Maruchan,Pack,USA,4,USA
2169,Happy Family,Pack,Singapore,4,SGP
2168,Tseng Noodles,Pack,Taiwan,5,TWN
2167,Great Value,Cup,Canada,3,CAN
2166,JML,Pack,China,4,CHN
2165,Suimin,Cup,Australia,3,AUS
2164,Tseng Noodles,Pack,Taiwan,5,TWN
2163,Nissin,Bowl,Japan,4,JPN
2162,Tseng Noodles,Pack,Taiwan,5,TWN
2161,Nongshim,Pack,South Korea,5,PRK
2160,Menraku,Bowl,Japan,5,JPN
2159,La Moderna,Pack,Mexico,3,MEX
2158,A-Sha Dry Noodle,Tray,Taiwan,5,TWN
2157,Master Kong,Pack,China,4,CHN
2156,A-Sha Dry Noodle,Tray,Taiwan,2,TWN
2155,Jingqi,Pack,Taiwan,4,TWN
2154,Jingqi,Pack,Taiwan,4,TWN
2153,Jingqi,Pack,Taiwan,4,TWN
2152,Jingqi,Pack,Taiwan,5,TWN
2151,Jingqi,Pack,Taiwan,5,TWN
2150,Jingqi,Pack,Taiwan,3,TWN
2149,Jingqi,Pack,Taiwan,5,TWN
2148,Jingqi,Pack,Taiwan,5,TWN
2147,Maruchan,Cup,USA,3,USA
2146,Sapporo Ichiban,Bowl,Japan,3,JPN
2145,Dream Kitchen,Cup,USA,3,USA
2144,Nissin,Pack,Brazil,4,BRA
2143,Thien Houng Foods,Pack,Vietnam,3,VNM
2142,Maruchan,Bowl,USA,4,USA
2141,Nissin,Bowl,Japan,5,JPN
2140,Wang,Bowl,South Korea,5,PRK
2139,Fuku,Pack,Hong Kong,4,HKG
2138,Fuku,Pack,Hong Kong,4,HKG
2137,Nissin,Pack,Hong Kong,4,HKG
2136,Nissin,Pack,Hong Kong,4,HKG
2135,Doll,Pack,Hong Kong,2,HKG
2134,Four Seas,Pack,Hong Kong,4,HKG
2133,Nissin,Bowl,Japan,5,JPN
2132,Maruchan,Cup,USA,5,USA
2131,Myojo,Pack,Singapore,4,SGP
2130,Kang Shi Fu,Pack,Hong Kong,4,HKG
2129,CarJEN,Pack,Malaysia,5,MYS
2128,Sapporo Ichiban,Cup,Japan,4,JPN
2127,Suimin,Cup,Australia,2.25,AUS
2126,Nissin,Bowl,Japan,5,JPN
2125,Happy Family,Pack,Singapore,4,SGP
2124,7 Select,Bowl,Thailand,3.5,THA
2123,Nissin,Cup,Thailand,5,THA
2122,Nissin,Pack,Thailand,5,THA
2121,Nissin,Pack,Thailand,4,THA
2120,Nissin,Cup,Thailand,3.5,THA
2119,Nissin,Cup,Thailand,3.5,THA
2118,Nissin,Cup,Thailand,3.25,THA
2117,7 Select,Bowl,Thailand,4,THA
2116,Nissin,Pack,Thailand,4,THA
2115,Nissin,Cup,Thailand,4,THA
2114,Nissin,Pack,Thailand,3.5,THA
2113,Nissin,Cup,Thailand,4,THA
2112,Nissin,Pack,Thailand,4,THA
2111,Nissin,Cup,Hong Kong,3.75,HKG
2110,Great Value,Pack,Canada,3,CAN
2109,Oni Hot Pot,Pack,Taiwan,4.3,TWN
2108,Weh Lih,Pack,Taiwan,1,TWN
2107,Nissin,Pack,Brazil,4.5,BRA
2106,Itomen,Pack,Japan,3.5,JPN
2105,Maruchan,Pack,USA,3,USA
2104,Wang,Bowl,South Korea,4,PRK
2103,Roland,Pack,USA,0,USA
2102,Nissin,Cup,Japan,5,JPN
2101,Samyang Foods,Pack,South Korea,4,PRK
2100,Myojo,Pack,Singapore,4,SGP
2099,Sanpo,Bowl,Japan,4,JPN
2098,Nongshim,Cup,USA,5,USA
2097,CarJEN,Pack,Malaysia,5,MYS
2096,Maruchan,Bowl,Japan,4,JPN
2095,Nissin,Pack,Singapore,5,SGP
2094,Nongshim,Pack,South Korea,5,PRK
2093,Oni Hot Pot,Pack,Taiwan,2,TWN
2092,Doll,Pack,Hong Kong,4,HKG
2091,MyKuali,Cup,Malaysia,5,MYS
2090,Nissin,Pack,Hong Kong,5,HKG
2089,Nissin,Cup,Hong Kong,5,HKG
2088,Nissin,Bowl,Hong Kong,4,HKG
2087,Nissin,Pack,Hong Kong,4,HKG
2086,Nissin,Pack,Hong Kong,5,HKG
2085,Fuku,Bowl,Hong Kong,5,HKG
2084,Nissin,Pack,Hong Kong,5,HKG
2083,Nissin,Pack,Hong Kong,5,HKG
2082,Nissin,Cup,Hong Kong,4,HKG
2081,Nissin,Cup,Hong Kong,4,HKG
2080,Fuku,Pack,Hong Kong,4,HKG
2079,Nissin,Cup,Hong Kong,5,HKG
2078,Nissin,Cup,Hong Kong,4,HKG
2077,Nissin,Cup,Hong Kong,5,HKG
2076,Nissin,Bowl,Hong Kong,3.75,HKG
2075,Mi Sedaap,Pack,Indonesia,4.5,IDN
2074,Nissin,Cup,Mexico,3.5,MEX
2073,Great Value,Pack,Canada,4,CAN
2072,Maruchan,Bowl,USA,5,USA
2071,A-Sha Dry Noodle,Pack,Taiwan,5,TWN
2070,Tokushima Seifun,Bowl,Japan,1.75,JPN
2069,Doll,Pack,Hong Kong,3.75,HKG
2068,Maggi,Pack,Australia,5,AUS
2067,Samyang Foods,Pack,South Korea,4.5,PRK
2066,Marutai,Pack,Japan,5,JPN
2065,Four Seas,Pack,Hong Kong,3,HKG
2064,Nongshim,Pack,USA,5,USA
2063,Mamee,Pack,Hong Kong,3.25,HKG
2062,Ottogi,Pack,Mexico,3.75,MEX
2061,Kamfen,Tray,Hong Kong,4.25,HKG
2060,Nissin,Cup,Japan,5,JPN
2059,Four Seas,Pack,Hong Kong,2.5,HKG
2058,Zow Zow,Pack,Thailand,3.75,THA
2057,Nissin,Cup,Mexico,3.75,MEX
2056,Koyo,Pack,USA,0,USA
2055,Nissin,Bowl,Japan,5,JPN
2054,Suimin,Cup,Australia,3.25,AUS
2053,Maruchan,Cup,USA,3.75,USA
2052,Indomie,Cup,Indonesia,3.5,IDN
2051,Master Kong,Pack,China,3.5,CHN
2050,MyKuali,Cup,Malaysia,5,MYS
2049,Ottogi,Pack,Mexico,4,MEX
2048,Acecook,Bowl,Japan,3.8,JPN
2047,Oni Hot Pot,Pack,Taiwan,5,TWN
2046,E-Zee,Pack,Malaysia,4,MYS
2045,Great Value,Pack,Canada,3.5,CAN
2044,Doll,Cup,Hong Kong,3,HKG
2043,ORee Garden,Bowl,Malaysia,5,MYS
2042,Suimin,Cup,Australia,4.3,AUS
2041,Master Kong,Pack,China,4.5,CHN
2040,Nissin,Cup,Brazil,5,BRA
2039,Tokushima Seifun,Bowl,Japan,5,JPN
2038,A1,Pack,Malaysia,1.5,MYS
2037,Migawon,Pack,South Korea,3.5,PRK
2036,A-Sha Dry Noodle,Pack,Taiwan,4.25,TWN
2035,Acecook,Cup,Japan,3.5,JPN
2034,Fantastic,Cup,Australia,3.25,AUS
2033,Chaudhary's Wai Wai,Pack,India,2.5,IND
2032,Kamfen,Bowl,Hong Kong,3.75,HKG
2031,CarJEN,Pack,Malaysia,5,MYS
2030,Myojo,Pack,Japan,3.75,JPN
2029,Singa-Me,Cup,Australia,2,AUS
2028,Maruchan,Pack,Mexico,3.5,MEX
2027,Nissin,Bowl,Japan,5,JPN
2026,MyKuali,Cup,Malaysia,4.75,MYS
2025,Urban Noodle,Cup,UK,2,UK
2024,Urban Noodle,Cup,UK,2.5,UK
2023,Urban Noodle,Cup,UK,0,UK
2022,Urban Noodle,Cup,UK,3,UK
2021,Urban Noodle,Cup,UK,5,UK
2020,Kang Shi Fu,Pack,China,3.5,CHN
2019,Acecook,Cup,Japan,3.75,JPN
2018,Pulmuone,Pack,South Korea,4,PRK
2017,Samyang Foods,Bowl,South Korea,0,PRK
2016,Great Value,Cup,Canada,3.5,CAN
2015,E-Zee,Pack,Malaysia,5,MYS
2014,Oni Hot Pot,Pack,Taiwan,4.5,TWN
2013,Great Value,Pack,Canada,3.5,CAN
